Municipio_mapa,UF,Latitude,Longitude,Pop_2018,Area,Pop_por_Area,Leitos_por_Mil_Hab,Dominios_Internet_por_Mil_Hab,Atração_Geral,Coef_Gestao_Empresarial,PIB,media_KMG2
ALMINO AFONSO RN,RN,-6.1544208,-37.7649018,4761,128.038,37.18427341882878,10.501995379122,0.211193241816262,1371.79148148148,,34009,0.10793097618941151
ALMIRANTE TAMANDARE DO SUL RS,RS,-28.1141129,-52.9134874,1979,265.327,7.458720748359571,0.0,4.58248472505092,542.4115002405,,137834,0.0013665576932778958
ALOANDIA GO,GO,-17.7277983,-49.4809338,2005,102.16,19.62607674236492,6.98254364089776,6.01503759398496,0.0,,38746,0.0734402117349312
ALPERCATA MG,MG,-18.9803616,-41.9827637,7411,166.972,44.38468725295259,0.0,1.48168103448276,6540.9386899525,,76613,0.0004563444481391798
ALPESTRE RS,RS,-27.2512339,-53.0349646,6458,325.979,19.81109212556637,4.80024775472282,2.55672738894215,1472.1689578605,,451529,0.050230355771317015
ALPINOPOLIS MG,MG,-20.863611,-46.387777,19745,454.751,43.41936576280207,1.77260065839453,4.58369012239964,5027.7516023435,77.0,347427,0.019666262403074244
ALTA FLORESTA MT,MT,-9.8698547,-56.0834993,51615,8953.191,5.764983680120305,2.1505376344086,8.6323432853115,46450.1776927798,270.0,1583783,0.025258916357359523
ALTAIR SP,SP,-20.5238955,-49.0606135,4134,313.007,13.20737235908462,0.0,0.240384615384615,582.68670301767,,200101,0.00015887888668698877
ALTAMIRA DO MARANHAO MA,MA,-4.1643006,-45.4674574,8066,524.373,15.382180241927024,0.0,0.246062992125984,1943.23240641205,,62194,9.814999743943516e-05
ALTAMIRA DO PARANA PR,PR,-24.7988854,-52.7131879,2209,386.945,5.708821667162,8.60117700316885,1.02986611740474,129.5125,,71752,0.08865964123178045
ALTAMIRA PA,PA,-3.204065,-52.209961,113195,159533.328,0.7095382602436526,2.05839480542427,3.04553467022706,117510.815635837,470.0,2472773,0.02312441271710248
ALTANEIRA CE,CE,-6.9980933,-39.7385742,7521,73.295,102.61272938126748,2.52625980587688,0.79093066174532,129.333333333333,,45212,0.026190238696915395
ALTEROSA MG,MG,-21.249166,-46.143055,14414,362.01,39.81657965249579,2.08130983765783,6.01410203235172,2013.49594848247,,212752,0.02318293899102963
ALTINHO PE,PE,-8.4904095,-36.0607494,22959,452.523,50.73554272379525,0.784006272050176,0.957687619710953,532.740343837041,,139837,0.008387534601853248
ALTINOPOLIS SP,SP,-21.021364,-47.3712,16164,928.956,17.400178264632554,1.91784211828755,11.6164112703905,1745.03383084577,89.0,462342,0.023211463642191045
ALTO ALEGRE DO MARANHAO MA,MA,-4.2055693,-44.4525287,26839,383.308,70.01940997839857,1.78844219233205,0.0369644771374709,12504.7065778481,,217024,0.018475934256544566
ALTO ALEGRE DO PINDARE MA,MA,-3.6698186,-45.8462153,31894,1876.032,17.0007761061645,2.16341631654857,0.281963720667941,3483.13518518519,,175650,0.022377944694435166
ALTO ALEGRE DOS PARECIS RO,RO,-12.1314515,-61.856265,13227,3958.273,3.341608827890345,1.20964693430105,0.453137980515067,0.0,,230030,0.012656036095121385
ALTO ALEGRE RR,RR,2.98858,-61.307167,15638,25753.487,0.6072187428444156,0.767361555186085,0.128949065119278,8991.56076651539,,248754,0.008029960850942017
ALTO ALEGRE RS,RS,-28.78345515,-53.00191079167412,1663,115.335,14.4188667793818,0.0,1.22100122100122,282.921333333333,,66046,0.0003773738298737616
ALTO ALEGRE SP,SP,-21.5820592,-50.1661976,4110,318.574,12.901241155900983,5.35279805352798,2.68358136130764,335.807554416918,,102142,0.0557832009405082
ALTO ARAGUAIA MT,MT,-17.3156528,-53.2169365,27276,6755.108,4.03783329592954,3.59290218507112,2.94964028776978,12616.3222508788,115.0,1046860,0.03821188326416433
ALTO BELA VISTA SC,SC,-27.4320737,-51.905771,1948,103.962,18.73761566726304,0.0,2.58131130614352,59.094,,48854,0.0007567668428497416
ALTO BOA VISTA MT,MT,-11.6723985,-51.3744431,6659,2240.438,2.972186688495732,0.0,1.61243037232483,1353.08026202775,,106462,0.0005070518671083563
ALTO CAPARAO MG,MG,-20.4405661,-41.8683799,5799,103.69,55.92631883498891,0.0,8.38036599965794,2126.49685452333,,87283,0.0024246400200071943
ALTO DO RODRIGUES RN,RN,-5.290868,-36.7616726,14326,191.334,74.87430357385514,1.46586625715482,1.51421295340354,4623.45150728495,84.0,426213,0.015678097278518887
ALTO FELIZ RS,RS,-29.3785943,-51.3123751,3020,78.852,38.2995992492264,0.0,3.63276089828269,0.0,,83125,0.0010715188180483372
ALTO GARCAS MT,MT,-16.9469683,-53.529427,11868,3865.971,3.069862655462237,0.0,1.74563591022444,1210.34091676031,56.0,586397,0.0007619333876326868
ALTO HORIZONTE GO,GO,-14.1954948,-49.3366993,6218,503.764,12.343081284093346,0.0,1.87090739008419,1271.36166666667,,392194,0.0007097922209408576
ALTO JEQUITIBA MG,MG,-20.423611,-41.966111,8333,152.272,54.724440474939584,0.0,3.72730551881688,3454.61424281215,,103913,0.0011078255175692162
ALTO LONGA PI,PI,-5.2549051,-42.2072388,14268,1737.836,8.210210859943055,0.981216708718811,0.209731543624161,3006.40402228777,,86718,0.010175991924904893
